,Group
ERR011089,0
ERR011090,0
ERR011091,0
ERR011092,0
ERR011093,0
ERR011094,0
ERR011101,0
ERR011102,0
ERR011103,0
ERR011104,0
ERR011109,0
ERR011110,0
ERR011111,0
ERR011114,0
ERR011115,0
ERR011116,0
ERR011117,0
ERR011118,0
ERR011119,0
ERR011120,0
ERR011121,0
ERR011122,0
ERR011123,0
ERR011126,0
ERR011127,0
ERR011128,0
ERR011131,0
ERR011132,0
ERR011133,0
ERR011140,0
ERR011141,0
ERR011142,0
ERR011143,0
ERR011148,0
ERR011150,0
ERR011152,0
ERR011153,0
ERR011156,0
ERR011158,0
ERR011160,0
ERR011162,0
ERR011164,0
ERR011165,0
ERR011166,0
ERR011167,0
ERR011168,0
ERR011169,0
ERR011170,0
ERR011171,0
ERR011172,0
ERR011173,0
ERR011174,0
ERR011175,0
ERR011176,0
ERR011177,0
ERR011178,0
ERR011179,0
ERR011180,0
ERR011181,0
ERR011182,0
ERR011183,0
ERR011184,0
ERR011185,0
ERR011186,0
ERR011187,0
ERR011188,0
ERR011189,0
ERR011190,0
ERR011191,0
ERR011192,0
ERR011193,0
ERR011194,0
ERR011195,0
ERR011196,0
ERR011197,0
ERR011198,0
ERR011199,0
ERR011200,0
ERR011201,0
ERR011202,0
ERR011203,0
ERR011204,0
ERR011205,0
ERR011206,0
ERR011207,0
ERR011208,0
ERR011209,0
ERR011210,0
ERR011211,0
ERR011212,0
ERR011213,0
ERR011214,0
ERR011215,0
ERR011216,0
ERR011217,0
ERR011218,0
ERR011219,0
ERR011220,0
ERR011221,0
ERR011222,0
ERR011223,0
ERR011224,0
ERR011225,0
ERR011226,0
ERR011227,0
ERR011228,0
ERR011229,0
ERR011230,0
ERR011231,0
ERR011232,0
ERR011233,0
ERR011234,0
ERR011235,0
ERR011236,0
ERR011237,0
ERR011238,0
ERR011239,0
ERR011240,0
ERR011241,0
ERR011242,0
ERR011243,0
ERR011244,0
ERR011245,0
ERR011246,0
ERR011247,0
SRR7343998,1
SRR7343999,1
SRR7344000,1
SRR7344001,1
SRR7344002,1
SRR7344003,1
SRR8670866,1
SRR8670867,1
SRR8670868,1
SRR8670869,1
SRR8670870,1
SRR8670871,1
SRR8670872,1
SRR8670873,1
SRR8670874,1
SRR8670875,1
SRR12113387,1
SRR12113388,1
SRR12113389,1
SRR12113391,1
SRR12113392,1
SRR12113393,1
SRR12113394,1
SRR12113395,1
SRR12113396,1
SRR8942237,1
SRR8942238,1
SRR8942239,1
SRR8942240,1
SRR8942241,1
SRR8942242,1
SRR8942243,1
SRR8942244,1
SRR8942245,1
SRR8942246,1
SRR8942247,1
SRR8942248,1
SRR8942249,1
SRR8942250,1
SRR8942251,1
SRR8942253,1
SRR8942254,1
SRR8942255,1
SRR8942256,1
SRR8942257,1
SRR8942258,1
SRR8942259,1
SRR8942260,1
SRR8942261,1
SRR8942262,1
SRR8942263,1
SRR8942264,1
SRR8942265,1
SRR8942266,1
SRR8942298,1
SRR8942301,1
SRR8942302,1
SRR8942303,1
SRR8942304,1
SRR8942307,1
SRR8942308,1
ERR4682452,1
ERR4682453,1
ERR4682454,1
ERR4682455,1
ERR4682456,1
ERR4682459,1
ERR4682461,1
ERR4682462,1
ERR4682463,1
ERR4682464,1
ERR4682466,1
ERR4682467,1
ERR4682773,1
ERR4682774,1
ERR4682775,1
ERR4682778,1
ERR4682780,1
ERR4682781,1
ERR4682782,1
ERR4682783,1
ERR4682785,1
ERR4682788,1
ERR4682789,1
ERR4682790,1
ERR4682791,1
ERR4682792,1
ERR4682793,1
ERR4682794,1
ERR4682797,1
ERR4682798,1
ERR4682857,1
ERR4682347,1
ERR4682900,1
ERR4682866,1
ERR4682349,1
ERR4682345,1
ERR4682804,1
ERR4682335,1
ERR4682358,1
ERR4682359,1
ERR4682355,1
ERR4682353,1
ERR4682334,1
ERR4682339,1
ERR4682836,1
ERR4682805,1
ERR4682427,1
ERR4682839,1
ERR4682346,1
ERR4682354,1
ERR4682835,1
ERR4682401,1
ERR4682397,1
ERR4682409,1
ERR4682820,1
ERR4682343,1
ERR4682801,1
ERR3562852,1
ERR4682832,1
ERR4682387,1
ERR4682851,1
ERR4682411,1
ERR4682407,1
ERR4682421,1
ERR4682418,1
ERR4682352,1
ERR4682869,1
ERR4682825,1
ERR4682852,1
ERR4682389,1
ERR3562861,1
ERR4682399,1
ERR4682875,1
ERR4682356,1
ERR4682840,1
ERR4682847,1
ERR4682386,1
ERR4682833,1
ERR4682378,1
ERR3562837,1
ERR4682420,1
ERR4682432,1
ERR4682819,1
ERR4682429,1
ERR4682362,1
ERR4682372,1
ERR4682895,1
ERR4682867,1
ERR4682844,1
ERR4682373,1
ERR4682812,1
ERR4682426,1
ERR4682366,1
ERR4682430,1
ERR4682408,1
ERR4682388,1
ERR4682850,1
ERR4682374,1
ERR3562866,1
ERR4682811,1
ERR4682404,1
ERR4682896,1
ERR4682874,1
ERR4682849,1
ERR4682344,1
ERR4682414,1
ERR4682818,1
ERR4682391,1
ERR4682406,1
ERR4682423,1
ERR4682845,1
ERR4682380,1
ERR3562849,1
ERR4682415,1
ERR4682443,1
ERR3562867,1
ERR4682428,1
ERR4682422,1
ERR4682361,1
ERR4682431,1
ERR4682417,1
ERR4682450,1
ERR4682826,1
