"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0.0549554633708961,0.000887059746955279,4.93164792092802,0.813819577735125,1.25998912591769,2.30206980686521
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.0505548351830614,0.000807392106860746,4.7226038300505,0.816698656429942,1.29623730114321,2.23958251571418
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",0.229116985310011,0.00528325100637995,3.6013700519554,0.753358925143954,0.639942713722101,1.84854584853999
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",0.0772978530372636,0.00132031519407744,4.83205789657757,0.801343570057582,1.11183256852693,2.27263774079812
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum",0.906995730574511,0.0445035132938283,1.83598361251238,0.661228406909789,0.0423947572533498,0.876553181707801
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",0.0431550861652282,0.000667099717815895,4.73261681830346,0.822456813819578,1.36496801192282,2.24263811736206
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",0.217129461933915,0.00476575896464396,3.65933235540894,0.757197696737044,0.663281243854611,1.8715804530438
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",0.253582690218076,0.00599900975236204,3.49534372718393,0.748560460652591,0.595880395109483,1.80543433517729
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031",0.540609187331447,0.0176832594300461,2.70013043719742,0.704414587332054,0.267116577998287,1.43302910229555
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",0.0678173910017652,0.00113521296749048,5.11120064883202,0.806142034548944,1.16865892195002,2.35366222788536
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0.0713338162564486,0.0012062597675956,4.62275254832816,0.804222648752399,1.1467045412284,2.20875213850842
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6",0.906995730574511,0.0635488552712695,1.52732572721571,0.64299424184261,0.0423947572533498,0.611007773284486
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bovis",0.906995730574511,0.160938060385463,0.706493029515818,0.591170825335892,0.0423947572533498,-0.501252768344525
"k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571|s__GGB4571_SGB6317",0.906995730574511,0.143470715385771,0.759026068553753,0.5978886756238,0.0423947572533498,-0.397778659408175
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249",0.40163416147841,0.0115252416492749,2.83368213081349,0.722648752399232,0.396169354850597,1.50267793256108
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis",0.713717577870468,0.0276124360139662,2.30292229882961,0.68426103646833,0.146473607042791,1.20346573506289
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",0.390348558101498,0.0110013685347591,2.82157434890743,0.724568138195777,0.40854742052555,1.49650036531391
"k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306",0.801577259529916,0.0345029412249618,1.88339654688399,0.673704414587332,0.0960546120865629,0.913336789645025
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407|s__GGB1407_SGB1930",0.906995730574511,0.396041522960195,0,0.53742802303263,0.0423947572533498,0
"k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612|s__GGB6612_SGB9346",0.906995730574511,0.166270881429256,0.726274160696962,0.589251439539347,0.0423947572533498,-0.46141384196344
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850|s__GGB15850_SGB5785",0.906995730574511,0.160938041515672,0.727286413939302,0.591170825335892,0.0423947572533498,-0.459404468574526
