,Group
ERR011089,Fecal
ERR011090,Fecal
ERR011091,Fecal
ERR011092,Fecal
ERR011093,Fecal
ERR011094,Fecal
ERR011101,Fecal
ERR011102,Fecal
ERR011103,Fecal
ERR011104,Fecal
ERR011109,Fecal
ERR011110,Fecal
ERR011111,Fecal
ERR011114,Fecal
ERR011115,Fecal
ERR011116,Fecal
ERR011117,Fecal
ERR011118,Fecal
ERR011119,Fecal
ERR011120,Fecal
ERR011121,Fecal
ERR011122,Fecal
ERR011123,Fecal
ERR011126,Fecal
ERR011127,Fecal
ERR011128,Fecal
ERR011131,Fecal
ERR011132,Fecal
ERR011133,Fecal
ERR011140,Fecal
ERR4682452,Sewage
ERR4682453,Sewage
ERR4682454,Sewage
ERR4682455,Sewage
ERR4682456,Sewage
ERR4682459,Sewage
ERR4682461,Sewage
ERR4682462,Sewage
ERR4682463,Sewage
ERR4682464,Sewage
ERR4682466,Sewage
ERR4682467,Sewage
ERR4682773,Sewage
ERR4682774,Sewage
ERR4682775,Sewage
ERR4682778,Sewage
ERR4682780,Sewage
ERR4682781,Sewage
ERR4682782,Sewage
ERR4682783,Sewage
ERR4682785,Sewage
ERR4682788,Sewage
ERR4682789,Sewage
ERR4682790,Sewage
ERR4682791,Sewage
ERR4682792,Sewage
ERR4682793,Sewage
ERR4682794,Sewage
ERR4682797,Sewage
ERR4682798,Sewage
SRR8942237,Large River
SRR8942238,Large River
SRR8942239,Large River
SRR8942240,Large River
SRR8942241,Large River
SRR8942242,Large River
SRR8942243,Large River
SRR8942244,Large River
SRR8942245,Large River
SRR8942246,Large River
SRR8942247,Large River
SRR8942248,Large River
SRR8942249,Large River
SRR8942250,Large River
SRR8942251,Large River
SRR8942253,Large River
SRR8942254,Large River
SRR8942255,Large River
SRR8942256,Large River
SRR8942257,Large River
SRR8942258,Large River
SRR8942259,Large River
SRR8942260,Large River
SRR8942261,Large River
SRR8942262,Large River
SRR8942263,Large River
SRR8942264,Large River
SRR8942265,Large River
SRR8942266,Large River
SRR8942298,Large River
SRR8942301,Large River
SRR8942302,Large River
SRR8942303,Large River
SRR8942304,Large River
SRR8942307,Large River
SRR8942308,Large River
SRR14120361,Urban River
SRR14120362,Urban River
SRR14120363,Urban River
SRR14120364,Urban River
SRR14120365,Urban River
SRR14120366,Urban River
SRR14120367,Urban River
SRR14120368,Urban River
SRR14120369,Urban River
SRR12113387,Groundwater
SRR12113388,Groundwater
SRR12113389,Groundwater
SRR12113391,Groundwater
SRR12113392,Groundwater
SRR12113393,Groundwater
SRR12113394,Groundwater
SRR12113395,Groundwater
SRR12113396,Groundwater
SRR7343998,Glacier lake
SRR7343999,Glacier lake
SRR7344000,Glacier lake
SRR7344001,Glacier lake
SRR7344002,Glacier lake
SRR7344003,Glacier lake
SRR8670866,Glacier lake
SRR8670867,Glacier lake
SRR8670868,Glacier lake
SRR8670869,Glacier lake
SRR8670870,Glacier lake
SRR8670871,Glacier lake
SRR8670872,Glacier lake
SRR8670873,Glacier lake
SRR8670874,Glacier lake
SRR8670875,Glacier lake
SRR15237466,Urban River
SRR15237465,Urban River
SRR15237464,Urban River
SRR15237463,Urban River
SRR15237462,Urban River
SRR15237461,Urban River
SRR15237458,Urban River
SRR15237457,Urban River
SRR15237456,Urban River
SRR15237455,Urban River
SRR15237454,Urban River
SRR15237453,Urban River
SRR15237452,Urban River
SRR15237451,Urban River
SRR15237450,Urban River
SRR15237449,Urban River
SRR15237448,Urban River
SRR15237447,Urban River
SRR15237446,Urban River
SRR15237445,Urban River
SRR15237444,Urban River
SRR15237443,Urban River
SRR13225485,Urban River
SRR13225484,Urban River
SRR13225483,Urban River
SRR13225482,Urban River
SRR13225481,Urban River
SRR13225480,Urban River
SRR13225479,Urban River
SRR13225478,Urban River
SRR13225477,Urban River
SRR13225476,Urban River
SRR13225475,Urban River
SRR13225474,Urban River
SRR13225473,Urban River
SRR13225472,Urban River
SRR13225471,Urban River
SRR13225470,Urban River
SRR13225469,Urban River
SRR13225468,Urban River
SRR13225467,Urban River
SRR13225466,Urban River
SRR13225465,Urban River
SRR13225464,Urban River
SRR13225463,Urban River
SRR13225462,Urban River
SRR13225461,Urban River
SRR13225460,Urban River
SRR13225459,Urban River
SRR13225458,Urban River
SRR13225457,Urban River
SRR13225456,Urban River
SRR13225455,Urban River
SRR13225454,Urban River
SRR13225453,Urban River
SRR13225452,Urban River
SRR13225451,Urban River
SRR13225450,Urban River
SRR13225449,Urban River
SRR13225448,Urban River
SRR13225447,Urban River
SRR10571256,Urban River
SRR10571255,Urban River
SRR10571254,Urban River
SRR10571253,Urban River
SRR10571252,Urban River
SRR10571251,Urban River
SRR10571250,Urban River
SRR10571249,Urban River
SRR10571248,Urban River
SRR10571246,Urban River
SRR10571245,Urban River
SRR10571244,Urban River
SRR10571243,Urban River
SRR10571242,Urban River
SRR10571241,Urban River
SRR10571240,Urban River
SRR10571239,Urban River
SRR10571238,Urban River
SRR10571237,Urban River
SRR10571214,Urban River
SRR10571213,Urban River
SRR10571212,Urban River
SRR10571211,Urban River
SRR10571210,Urban River
SRR10571209,Urban River
SRR10571208,Urban River
SRR10571207,Urban River
SRR10571206,Urban River
SRR10571205,Urban River
SRR10132701,Urban River
SRR10132699,Urban River
SRR10132698,Urban River
SRR10132697,Urban River
SRR10132696,Urban River
SRR10132695,Urban River
SRR10132694,Urban River
SRR10132693,Urban River
SRR10132692,Urban River
SRR10132691,Urban River
SRR10132690,Urban River
SRR10132688,Urban River
SRR10132687,Urban River
SRR10132686,Urban River
SRR10132685,Urban River
SRR10132684,Urban River
SRR10132683,Urban River
SRR10132682,Urban River
SRR10132681,Urban River
SRR10132680,Urban River
SRR10132679,Urban River
SRR10132677,Urban River
SRR10132676,Urban River
SRR10132675,Urban River
SRR10132674,Urban River
SRR10132673,Urban River
SRR10132672,Urban River
SRR10132671,Urban River
SRR10132670,Urban River
SRR10132669,Urban River
SRR10132668,Urban River
SRR10132666,Urban River
SRR10132665,Urban River
SRR10132664,Urban River
SRR10132663,Urban River
SRR10132662,Urban River
SRR10132661,Urban River
SRR10132660,Urban River
SRR10132659,Urban River
SRR10132658,Urban River
SRR10132657,Urban River
SRR10132655,Urban River
SRR10132654,Urban River
SRR10132653,Urban River
SRR10132652,Urban River
SRR10132651,Urban River
SRR10132650,Urban River
SRR10132649,Urban River
SRR10132648,Urban River
SRR10132647,Urban River
SRR10132646,Urban River
SRR10132644,Urban River
SRR10132643,Urban River
SRR10132642,Urban River
SRR10132641,Urban River
SRR10132640,Urban River
SRR10132639,Urban River
SRR10132638,Urban River
SRR10132637,Urban River
SRR10132636,Urban River
SRR10132635,Urban River
SRR10132632,Urban River
SRR10132631,Urban River
SRR10132630,Urban River
SRR10132629,Urban River
SRR10132628,Urban River
SRR10132627,Urban River
SRR10132626,Urban River
SRR10132625,Urban River
SRR10132624,Urban River
SRR10132623,Urban River
SRR10132621,Urban River
SRR10132620,Urban River
SRR10132619,Urban River
SRR10132618,Urban River
SRR10132617,Urban River
SRR10132616,Urban River
ERR011141,Fecal
ERR011142,Fecal
ERR011143,Fecal
ERR011148,Fecal
ERR011150,Fecal
ERR011152,Fecal
ERR011153,Fecal
ERR011156,Fecal
ERR011158,Fecal
ERR011160,Fecal
ERR011162,Fecal
ERR011164,Fecal
ERR011165,Fecal
ERR011166,Fecal
ERR011167,Fecal
ERR011168,Fecal
ERR011169,Fecal
ERR011170,Fecal
ERR011171,Fecal
ERR011172,Fecal
ERR011173,Fecal
ERR011174,Fecal
ERR011175,Fecal
ERR011176,Fecal
ERR011177,Fecal
ERR011178,Fecal
ERR011179,Fecal
ERR011180,Fecal
ERR011181,Fecal
ERR011182,Fecal
ERR011183,Fecal
ERR011184,Fecal
ERR011185,Fecal
ERR011186,Fecal
ERR011187,Fecal
ERR011188,Fecal
ERR011189,Fecal
ERR011190,Fecal
ERR011191,Fecal
ERR011192,Fecal
ERR011193,Fecal
ERR011194,Fecal
ERR011195,Fecal
ERR011196,Fecal
ERR011197,Fecal
ERR011198,Fecal
ERR011199,Fecal
ERR011200,Fecal
ERR011201,Fecal
ERR011202,Fecal
ERR011203,Fecal
ERR011204,Fecal
ERR011205,Fecal
ERR011206,Fecal
ERR011207,Fecal
ERR011208,Fecal
ERR011209,Fecal
ERR011210,Fecal
ERR011211,Fecal
ERR011212,Fecal
ERR011213,Fecal
ERR011214,Fecal
ERR011215,Fecal
ERR011216,Fecal
ERR011217,Fecal
ERR011218,Fecal
ERR011219,Fecal
ERR011220,Fecal
ERR011221,Fecal
ERR011222,Fecal
ERR011223,Fecal
ERR011224,Fecal
ERR011225,Fecal
ERR011226,Fecal
ERR011227,Fecal
ERR011228,Fecal
ERR011229,Fecal
ERR011230,Fecal
ERR011231,Fecal
ERR011232,Fecal
ERR011233,Fecal
ERR011234,Fecal
ERR011235,Fecal
ERR011236,Fecal
ERR011237,Fecal
ERR011238,Fecal
ERR011239,Fecal
ERR011240,Fecal
ERR011241,Fecal
ERR011242,Fecal
ERR011243,Fecal
ERR011244,Fecal
ERR011245,Fecal
ERR011246,Fecal
ERR011247,Fecal
ERR4682857,Sewage
ERR4682347,Sewage
ERR4682900,Sewage
ERR4682866,Sewage
ERR4682349,Sewage
ERR4682345,Sewage
ERR4682804,Sewage
ERR4682335,Sewage
ERR4682358,Sewage
ERR4682359,Sewage
ERR4682355,Sewage
ERR4682353,Sewage
ERR4682334,Sewage
ERR4682339,Sewage
ERR4682836,Sewage
ERR4682805,Sewage
ERR4682427,Sewage
ERR4682839,Sewage
ERR4682346,Sewage
ERR4682354,Sewage
ERR4682835,Sewage
ERR4682401,Sewage
ERR4682397,Sewage
ERR4682409,Sewage
ERR4682820,Sewage
ERR4682343,Sewage
ERR4682801,Sewage
ERR3562852,Sewage
ERR4682832,Sewage
