"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",2.73870424551545e-10,8.53924802985772e-12,5.34308372633536,0.830971659919028,9.56245486496246,2.41767262442672
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",1.18409020993339e-08,4.3181016281626e-10,4.96630423279609,0.802912730544309,7.92661520961996,2.31217264284824
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",6.62556189340664e-07,2.77267514541742e-08,3.66734114306923,0.759024966261808,6.17877728465787,1.87473447453674
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",1.27739539824933e-09,4.16743566599407e-11,4.94931552585873,0.817813765182186,8.89367465269856,2.30722901898432
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum",0.000535843922054921,3.64276655092204e-05,1.86322155394005,0.670040485829959,3.27096169101842,0.897799234003707
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",1.40875110974067e-09,4.62003950926994e-11,5.12951566615008,0.820231668915879,8.85116572883115,2.35882261159636
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",1.69518486860866e-07,6.67418416968652e-09,3.72447683800499,0.771255060728745,6.77078293283637,1.89703779034727
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",4.01360763368176e-07,1.64534261180907e-08,3.88271626600553,0.762145748987854,6.39646508597305,1.95706628448488
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031",2.04015705435949e-05,1.09247387778712e-06,2.75452626534767,0.715587044534413,4.69033639864457,1.46180421955799
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",7.03712172933069e-10,2.28380413113474e-11,5.18059695275187,0.822874493927126,9.15260493640768,2.3731183471694
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",3.12947677883483e-08,1.16797450879735e-09,4.69470793578069,0.793522267206478,7.50452826662588,2.23103540863363
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6",0.00178325035834677,0.000137372194667621,1.84354737735076,0.65080971659919,2.74878768003516,0.882484492748907
