"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",6.45551069643644e-23,3.83173621489737e-24,-4.31959415620118,0.234379110760326,22.1900693949357,-2.11089577156917
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.00104060771641131,0.000295110452676912,-3.16663602500988,0.405016771902131,2.98271295800713,-1.66295105268659
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",2.15645890133556e-06,4.0978060086016e-07,-2.8840009953729,0.372311562746646,5.66625881439875,-1.52807166250499
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",2.73061783305729e-26,1.29429746122367e-27,-4.71550907895721,0.216373980531439,25.5637390778201,-2.2374135304
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum",0.00165668538144623,0.000496340619874745,-1.55385064264986,0.422446395685346,2.78075995994231,-0.635847837423906
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",0.0100225766458009,0.00371834255268247,-2.80245927843689,0.423679623783215,1.99902061387803,-1.48669340988209
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",0.000458534528997841,0.000124883987784961,-2.78649159705629,0.402961391739016,3.33862795511151,-1.47844980283159
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",1.25822398315752e-50,1.82678347541873e-52,-6.10321280508524,0.117288213627993,49.9002420409332,-2.60956889476796
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031",7.32913345475265e-12,8.04959059083774e-13,-3.31413011995923,0.328753946329913,11.1349473702519,-1.72863024701761
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",6.46259679774984e-19,4.735594886386e-20,-4.70638231664373,0.260572875559063,18.189592938921,-2.23461852071573
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",8.0605848586458e-08,1.27837612797893e-08,-3.57184745415233,0.351601552223099,7.09363344558108,-1.83667046740276
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6",0.0959846916968107,0.0498654778026902,-0.772006353314697,0.45805380163115,1.01779802572849,0.373315374521091
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bovis",1.15129255373809e-34,3.87402225785984e-36,-2.89171289658485,0.27359576427256,33.938814304233,-1.53192432157167
"k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571|s__GGB4571_SGB6317",8.97909240826725e-16,7.80657278300116e-17,-2.59374714135208,0.34532031044462,15.0467675588785,-1.37503784130955
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249",4.36360190787823e-07,7.40496796562819e-08,-2.93943821604892,0.368373454354117,6.36015487703372,-1.55554045425726
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis",0.0011676558012357,0.000343744943791908,-1.72899327553738,0.416888647724283,2.93268515863977,-0.789932258009839
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",0.0422757042059912,0.0185797910875421,-1.67056726122438,0.442293146540384,1.37390914942557,-0.740338070360007
"k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306",1.61456503580203e-06,3.03222180692515e-07,-2.30936551020775,0.38322152065246,5.79194445661084,-1.20749653085636
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407|s__GGB1407_SGB1930",2.57747499351393e-06,4.96387916164822e-07,-0.608192692729642,0.43860168376743,5.58880553951936,0.717399612004409
"k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612|s__GGB6612_SGB9346",8.47506615017081e-11,1.00898814700983e-11,-2.12065284967042,0.378305051302289,10.0718569033264,-1.08450847138722
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850|s__GGB15850_SGB5785",7.14758203757296e-07,1.27397759948883e-07,-1.34375628850073,0.40471257563799,6.14584085125353,-0.426271506231471
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106",9.7779330292841e-20,6.81423977444344e-21,-4.70803369760704,0.272970928702973,19.0097529416183,-2.2351246464589
"k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768|s__GGB4768_SGB6601",0.00177012734176163,0.000531234732167594,0.428921968860679,0.551417390160484,2.75199548966357,-1.22121288393915
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",3.63119911174721e-05,8.10964700420101e-06,-1.80730523500855,0.396729479084451,4.43994993650098,-0.853840182929049
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536|s__GGB9536_SGB14939",0.197030023516276,0.126698997375922,0,0.506906077348066,0.705467590823442,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176|s__GGB9176_SGB14114",0.00334187259173386,0.0010882705775285,0.393089978420532,0.544692186266772,2.47601011152273,-1.34706851125077
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",3.25922891987266e-18,2.45228514681682e-19,-3.51050578173172,0.264486319389634,17.486885134734,-1.81167890409908
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4",0.173977503527754,0.0982291635342026,0.585317004383531,0.534152196790318,0.759506905311661,-0.772709903040654
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15093",1.34975298532182e-12,1.41903315819555e-13,-2.65023324586015,0.33408971323336,11.869745703303,-1.40611933621832
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277|s__GGB3277_SGB4327",3.88742844330513e-41,9.69450085784524e-43,-5.01649074643815,0.206269731649566,40.4103375920394,-2.32667848905323
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149",2.84749055057017e-29,1.22080472831687e-30,-4.67783263653204,0.233713167587477,28.5455377084577,-2.22584024587919
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716|s__GGB9716_SGB15269",0.12809480484198,0.0701241165188369,0,0.509668508287293,0.892468483637149,0
