"","Shannon","Group"
"ERR011089",3.596500933,"Fecal"
"ERR011090",3.681365256,"Fecal"
"ERR011091",3.627394161,"Fecal"
"ERR011092",2.991134914,"Fecal"
"ERR011093",3.035815796,"Fecal"
"ERR011094",2.991970853,"Fecal"
"ERR011101",3.520289791,"Fecal"
"ERR011102",3.516307884,"Fecal"
"ERR011103",3.517732908,"Fecal"
"ERR011104",3.518945905,"Fecal"
"ERR011109",3.336499225,"Fecal"
"ERR011110",3.362847909,"Fecal"
"ERR011111",3.33234983,"Fecal"
"ERR011114",3.432511415,"Fecal"
"ERR011115",3.472389639,"Fecal"
"ERR011116",3.502562321,"Fecal"
"ERR011117",3.301400297,"Fecal"
"ERR011118",3.367137975,"Fecal"
"ERR011119",3.412695203,"Fecal"
"ERR011120",3.408031815,"Fecal"
"ERR011121",3.400670653,"Fecal"
"ERR011122",3.433695766,"Fecal"
"ERR011123",3.437166008,"Fecal"
"ERR011126",3.241813879,"Fecal"
"ERR011127",3.291474361,"Fecal"
"ERR011128",3.306724603,"Fecal"
"ERR011131",2.64170325,"Fecal"
"ERR011132",2.635844345,"Fecal"
"ERR011133",2.804430335,"Fecal"
"ERR011140",2.628840296,"Fecal"
"ERR4682452",2.939728571,"Sewage"
"ERR4682453",2.626498275,"Sewage"
"ERR4682454",3.130791337,"Sewage"
"ERR4682455",3.133873951,"Sewage"
"ERR4682456",2.853123022,"Sewage"
"ERR4682459",2.440775302,"Sewage"
"ERR4682461",2.648372673,"Sewage"
"ERR4682462",3.297252034,"Sewage"
"ERR4682463",3.271050789,"Sewage"
"ERR4682464",3.192619299,"Sewage"
"ERR4682466",2.818617515,"Sewage"
"ERR4682467",2.914744742,"Sewage"
"ERR4682773",3.207546595,"Sewage"
"ERR4682774",3.274263478,"Sewage"
"ERR4682775",3.144578112,"Sewage"
"ERR4682778",2.489490046,"Sewage"
"ERR4682780",2.138779537,"Sewage"
"ERR4682781",3.212148765,"Sewage"
"ERR4682782",1.363405934,"Sewage"
"ERR4682783",2.77210179,"Sewage"
"ERR4682785",2.640697981,"Sewage"
"ERR4682788",2.791480681,"Sewage"
"ERR4682789",3.068578431,"Sewage"
"ERR4682790",2.656896174,"Sewage"
"ERR4682791",2.157232868,"Sewage"
"ERR4682792",3.093818126,"Sewage"
"ERR4682793",1.147933925,"Sewage"
"ERR4682794",3.037685098,"Sewage"
"ERR4682797",3.066061839,"Sewage"
"ERR4682798",3.124680057,"Sewage"
"SRR8942237",0,"Large River"
"SRR8942238",0,"Large River"
"SRR8942239",0,"Large River"
"SRR8942240",0,"Large River"
"SRR8942241",0,"Large River"
"SRR8942242",0,"Large River"
"SRR8942243",0,"Large River"
"SRR8942244",0,"Large River"
"SRR8942245",0,"Large River"
"SRR8942246",0,"Large River"
"SRR8942247",0,"Large River"
"SRR8942248",0,"Large River"
"SRR8942249",0,"Large River"
"SRR8942250",0,"Large River"
"SRR8942251",0,"Large River"
"SRR8942253",0,"Large River"
"SRR8942254",0,"Large River"
"SRR8942255",0,"Large River"
"SRR8942256",0,"Large River"
"SRR8942257",0,"Large River"
"SRR8942258",0,"Large River"
"SRR8942259",0,"Large River"
"SRR8942260",0.240112482,"Large River"
"SRR8942261",0,"Large River"
"SRR8942262",0,"Large River"
"SRR8942263",0,"Large River"
"SRR8942264",0,"Large River"
"SRR8942265",0,"Large River"
"SRR8942266",0,"Large River"
"SRR8942298",0,"Large River"
"SRR8942301",1.421115418,"Large River"
"SRR8942302",1.030777594,"Large River"
"SRR8942303",0.546922585,"Large River"
"SRR8942304",0,"Large River"
"SRR8942307",0,"Large River"
"SRR8942308",0,"Large River"
"SRR14120361",0,"Urban River"
"SRR14120362",2.034842943,"Urban River"
"SRR14120363",2.524201392,"Urban River"
"SRR14120364",0.392701934,"Urban River"
"SRR14120365",0,"Urban River"
"SRR14120366",1.947061036,"Urban River"
"SRR14120367",0,"Urban River"
"SRR14120368",0.887194108,"Urban River"
"SRR14120369",0.640757719,"Urban River"
"SRR12113387",0,"Groundwater"
"SRR12113388",0,"Groundwater"
"SRR12113389",0,"Groundwater"
"SRR12113391",0,"Groundwater"
"SRR12113392",0,"Groundwater"
"SRR12113393",0,"Groundwater"
"SRR12113394",0,"Groundwater"
"SRR12113395",0,"Groundwater"
"SRR12113396",0,"Groundwater"
"SRR7343998",0,"Glacier lake"
"SRR7343999",0,"Glacier lake"
"SRR7344000",0,"Glacier lake"
"SRR7344001",0,"Glacier lake"
"SRR7344002",0,"Glacier lake"
"SRR7344003",0.174318951,"Glacier lake"
"SRR8670866",0,"Glacier lake"
"SRR8670867",0,"Glacier lake"
"SRR8670868",0,"Glacier lake"
"SRR8670869",0,"Glacier lake"
"SRR8670870",0,"Glacier lake"
"SRR8670871",0,"Glacier lake"
"SRR8670872",0,"Glacier lake"
"SRR8670873",0,"Glacier lake"
"SRR8670874",0,"Glacier lake"
"SRR8670875",0,"Glacier lake"
"SRR15237466",1.646112284,"Urban River"
"SRR15237465",1.287341649,"Urban River"
"SRR15237464",0.998841541,"Urban River"
"SRR15237463",1.474444325,"Urban River"
"SRR15237462",2.337870087,"Urban River"
"SRR15237461",1.19883069,"Urban River"
"SRR15237458",1.440461705,"Urban River"
"SRR15237457",1.584817351,"Urban River"
"SRR15237456",1.911885751,"Urban River"
"SRR15237455",2.016258103,"Urban River"
"SRR15237454",1.035045129,"Urban River"
"SRR15237453",2.133300744,"Urban River"
"SRR15237452",1.805013078,"Urban River"
"SRR15237451",1.609722793,"Urban River"
"SRR15237450",1.824259587,"Urban River"
"SRR15237449",1.751183021,"Urban River"
"SRR15237448",1.973286597,"Urban River"
"SRR15237447",2.01707188,"Urban River"
"SRR15237446",1.872089086,"Urban River"
"SRR15237445",0.881374605,"Urban River"
"SRR15237444",0.706330268,"Urban River"
"SRR15237443",0.618460334,"Urban River"
"SRR13225485",2.42544277,"Urban River"
"SRR13225484",2.328745885,"Urban River"
"SRR13225483",0.236539427,"Urban River"
"SRR13225482",0.190878122,"Urban River"
"SRR13225481",0.82719334,"Urban River"
"SRR13225480",1.457222345,"Urban River"
"SRR13225479",1.47011622,"Urban River"
"SRR13225478",1.026452389,"Urban River"
"SRR13225477",0.76772289,"Urban River"
"SRR13225476",1.440821052,"Urban River"
"SRR13225475",0,"Urban River"
"SRR13225474",0,"Urban River"
"SRR13225473",2.410495787,"Urban River"
"SRR13225472",0,"Urban River"
"SRR13225471",0,"Urban River"
"SRR13225470",0,"Urban River"
"SRR13225469",0,"Urban River"
"SRR13225468",0,"Urban River"
"SRR13225467",0,"Urban River"
"SRR13225466",0,"Urban River"
"SRR13225465",0,"Urban River"
"SRR13225464",1.433114049,"Urban River"
"SRR13225463",0,"Urban River"
"SRR13225462",1.705666382,"Urban River"
"SRR13225461",0,"Urban River"
"SRR13225460",0,"Urban River"
"SRR13225459",1.437239161,"Urban River"
"SRR13225458",0.276435445,"Urban River"
"SRR13225457",0.293759686,"Urban River"
"SRR13225456",1.123433877,"Urban River"
"SRR13225455",0,"Urban River"
"SRR13225454",0.201015815,"Urban River"
"SRR13225453",0.180344458,"Urban River"
"SRR13225452",2.474933332,"Urban River"
