,tyr(PPM)
ERR011141,900.3315691
ERR011142,861.7289967
ERR011143,1232.869318
ERR011148,872.3797332
ERR011150,1432.033449
ERR011152,792.4209599
ERR011153,570.2445017
ERR011156,1338.989364
ERR011158,993.7073431
ERR011160,1224.788023
ERR011162,776.5954943
ERR011164,925.3115424
ERR011165,995.2280227
ERR011166,179.3276793
ERR011167,699.7767653
ERR011168,1377.95099
ERR011169,1196.411815
ERR011170,780.309491
ERR011171,964.7350296
ERR011172,586.4774882
ERR011173,793.1441566
ERR011174,546.439977
ERR011175,1121.396062
ERR011176,602.3378719
ERR011177,925.0188359
ERR011178,1306.439807
ERR011179,1133.773355
ERR011180,928.6036836
ERR011181,1028.453005
ERR011182,517.9063361
ERR011183,914.8543605
ERR011184,854.1558035
ERR011185,891.6317796
ERR011186,1119.459415
ERR011187,1174.022186
ERR011188,1120.99699
ERR011189,1024.409992
ERR011190,844.9843635
ERR011191,975.1056787
ERR011192,770.5827013
ERR011193,801.5431189
ERR011194,882.0869887
ERR011195,1071.495347
ERR011196,746.7574213
ERR011197,838.4821878
ERR011198,1031.468351
ERR011199,1132.393789
ERR011200,751.4272241
ERR011201,1087.059218
ERR011202,887.4025002
ERR011203,1254.338609
ERR011204,1311.978825
ERR011205,1203.745995
ERR011206,1007.28649
ERR011207,1058.238408
ERR011208,1032.37998
ERR011209,1055.157895
ERR011210,701.9285153
ERR011211,975.9188033
ERR011212,799.0297797
ERR011213,706.8150894
ERR011214,1055.961291
ERR011215,949.9564876
ERR011216,1057.370568
ERR011217,1348.025191
ERR011218,986.9060412
ERR011219,991.2059934
ERR011220,674.7927868
ERR011221,745.3706488
ERR011222,1164.133771
ERR011223,1170.803987
ERR011224,743.8889137
ERR011225,843.4633609
ERR011226,955.8111509
ERR011227,865.0091775
ERR011228,1215.998186
ERR011229,1086.55394
ERR011230,1022.213661
ERR011231,806.3202006
ERR011232,760.3321772
ERR011233,780.6209051
ERR011234,1065.122221
ERR011235,888.9963626
ERR011236,1482.154945
ERR011237,1084.872682
ERR011238,1153.780843
ERR011239,1261.792424
ERR011240,1147.47626
ERR011241,1103.921557
ERR011242,947.5962022
ERR011243,780.3667302
ERR011244,991.2355795
ERR011245,1177.745649
