"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",1.56469686075896e-37,9.62150260266849e-40,5.33857804005579,0.841583204930663,36.8055697887576,2.41645552323422
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",1.1681613096305e-21,4.0305505943353e-23,4.0163901261008,0.756741140215716,20.9324971820137,2.00589941013906
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",8.5632173199969e-25,2.2963961384226e-26,4.21050040505836,0.764645929635336,24.0673630341777,2.07399170336168
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",1.23101042449575e-40,3.99508037670498e-43,5.26533378702263,0.854279019003595,39.9097382693418,2.39652499138742
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum",1.45851809910638e-24,3.94867398938186e-26,2.99744121179483,0.732609463276836,23.8360881772428,1.5837314586324
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",1.76342883673812e-15,1.0180868508284e-16,3.51322842407376,0.715780688238315,14.7536420616191,1.81279738116175
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",1.33644567802506e-27,2.60235386958506e-29,4.3544881467973,0.780872817154597,26.8740486891434,2.12250314558043
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",1.2147204230893e-35,9.54430599745627e-38,5.10138811438534,0.818550975860298,34.9155236666593,2.35088986536898
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031",1.82999312396026e-34,1.65666812827558e-36,4.04635557726097,0.798167051874679,33.7375505420902,2.01662310363586
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",9.32057182864944e-38,5.04632514893154e-40,5.41265458937171,0.841583204930663,37.0305574423232,2.43633632485276
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",1.09316031796199e-18,5.06948546121242e-20,3.59914149322571,0.73613251155624,17.9613161417095,1.84765282011829
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6",2.73023633503288e-20,1.11690426550581e-21,2.71407195603817,0.702105803800719,19.563799757883,1.44045897029372
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bovis",1.55818748538394e-09,1.6394969527654e-10,1.37560553638288,0.613909219311762,8.80738028801845,0.460066827386222
"k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571|s__GGB4571_SGB6317",2.93073703288545e-13,2.11251349880888e-14,1.52050968335751,0.640159540318439,12.5330231478837,0.60455500419336
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249",9.32057182864944e-38,5.17411537161341e-40,4.48674773587316,0.819955380071905,37.0305574423232,2.16567007181552
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis",2.19140496373174e-22,6.98090401803689e-24,3.4893571919974,0.731124807395994,21.6592773589693,1.80296128820205
