"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0.000329932157107657,8.08698685540162e-06,4.9467624408923,0.818093385214008,3.48157535352468,2.30648461840176
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.000281853673411622,6.86038918116939e-06,4.74076666729051,0.821011673151751,3.54997630062736,2.24512038774331
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii",0.00569539561808949,0.000180458773107114,3.62383861394852,0.756809338521401,2.24447610322918,1.85751870702858
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis",0.000636364414573122,1.61957977233573e-05,4.89103436329896,0.805447470817121,3.1962941140453,2.2901396007597
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Eubacterium_siraeum",0.125447535045726,0.00697466271581831,1.84494769916731,0.663424124513619,0.901537867841253,0.883579919146678
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus",0.000207687187455777,4.91325911053465e-06,5.07211040617464,0.826848249027237,3.68259029493765,2.34258614940221
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",0.00493712587620865,0.000150951495745384,3.67329550052755,0.760700389105058,2.30652579993341,1.87707495923253
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",0.00696466706938199,0.000224839367343615,3.80681802288209,0.751945525291829,2.15709963923802,1.92858560647478
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602|s__GGB9602_SGB15031",0.0353719124098937,0.00144701864066165,2.71247947690647,0.707198443579767,1.4513414590823,1.43961222191573
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",0.000495544371510248,1.24425694101984e-05,5.13642519262129,0.810311284046693,3.30491745230022,2.36076463351472
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0.000547216954477312,1.38334801029366e-05,4.6457388375925,0.808365758754864,3.26184045529037,2.2159080546417
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270H_150608_G6",0.194258172112173,0.0127249111375043,1.53286349482338,0.644941634241245,0.711620702109705,0.616229227257693
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bovis",0.562074631983473,0.0597165293524161,0.708422853398803,0.592412451361868,0.250206015202008,-0.49731734136147
"k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571|s__GGB4571_SGB6317",0.500283814797114,0.0494344840481904,0.760763337112741,0.599221789883268,0.300783547202548,-0.394480373715354
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249",0.0187162755678404,0.000693727998289437,3.12001475061806,0.72568093385214,1.72778056912682,1.64155284979048
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis",0.0652765185280795,0.0030996442760003,2.31790325280158,0.686770428015564,1.18524301639212,1.21282035080675
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",0.0175182360761412,0.000640345464223114,3.13188102178139,0.727626459143969,1.75650962539195,1.64702940657967
"k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982|g__GGB9342|s__GGB9342_SGB14306",0.0873649986784335,0.00452904212125793,2.16709330822414,0.676070038910506,1.0586625253221,1.11576127268131
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__GGB1407|s__GGB1407_SGB1930",0.868624896337168,0.25398657548114,0,0.537937743190661,0.0611677271417616,0
"k__Bacteria|p__Proteobacteria|c__CFGB13104|o__OFGB13104|f__FGB13104|g__GGB6612|s__GGB6612_SGB9346",0.578081339466542,0.0629969807601037,0.733793585963543,0.590466926070039,0.238011049475448,-0.446553800738397
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850|s__GGB15850_SGB5785",0.562074631983473,0.0597165178495664,0.729443107391459,0.592412451361868,0.250206015202008,-0.455132634749635
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635|s__GGB9635_SGB15106",0.0256019990613402,0.000988308444421024,2.90308267727565,0.716926070038911,1.59172612267982,1.53758565925258
"k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798|g__GGB4768|s__GGB4768_SGB6601",0.868624896337168,0.14848665369678,0.373774645596906,0.558365758754864,0.0611677271417616,-1.41975938538751
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",0.0692572060277125,0.00332415661350879,2.28234454489545,0.684824902723735,1.15953503272913,1.19051659867779
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9536|s__GGB9536_SGB14939",0.868624896337168,0.695753496344841,0,0.504863813229572,0.0611677271417616,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176|s__GGB9176_SGB14114",0.868624896337168,0.191578730042694,0,0.54863813229572,0.0611677271417616,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0.000345992598890545,8.53974387901336e-06,4.64133126332946,0.817120622568093,3.46093319107825,2.21453866990788
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4",0.260934941509081,0.0194102258138534,1.50161862364726,0.631322957198444,0.583467761112463,0.586518448246884
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15093",0.112109030736547,0.00611817154672931,1.8816790001088,0.667315175097276,0.950359402203591,0.91202053643522
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277|s__GGB3277_SGB4327",0.190600400327676,0.012338805265806,1.57581622074157,0.64591439688716,0.719876191526033,0.656099290577945
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4149",0.0692572060277125,0.00332415316776752,2.35282207513374,0.684824902723735,1.15953503272913,1.23439222535282
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716|s__GGB9716_SGB15269",0.868624896337168,0.641744394314127,0,0.506809338521401,0.0611677271417616,0
