"","NA","NA","Cor","Pval","Qval","name"
"1","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified",0.447418384535872,1.88792731745765e-27,8.02369109919501e-27,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified"
"2","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",0.440948238731667,1.26824833693358e-26,4.62004751311519e-26,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes"
"3","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",0.371051276756814,9.60712874035824e-19,2.7368982989922e-18,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"
"4","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter",0.525868090104845,5.05001987563853e-39,5.94348493055919e-38,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter"
"5","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified",0.430725163072247,2.36884559703651e-25,8.42868317085085e-25,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified"
"6","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola",0.371665403788015,8.34126949605697e-19,2.45425814018599e-18,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"
"7","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium",0.376024664127867,3.03306152557419e-19,9.09918457672256e-19,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"
"8","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia",0.445182958339371,3.66266560192766e-27,1.51456172187819e-26,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia"
"9","tyr.PPM.","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia",0.558409683125132,8.80614638149471e-45,3.36835099092172e-43,"tyr.PPM._with_k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia"
"10","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602",0.48412009139441,1.71194297256085e-32,1.04770909920724e-31,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9602"
"11","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium",0.548366331330534,6.16182444612906e-43,1.57126523376291e-41,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium"
"12","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia",0.510254105766397,1.78579742291279e-36,1.60721768062151e-35,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"
"13","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus",0.48325683225701,2.28686728297873e-32,1.29589146035461e-31,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus"
"14","tyr.PPM.","k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571",0.355647515297544,3.01486608239797e-17,8.09253527380509e-17,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571"
"15","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713",0.469060699005304,2.38050162013911e-30,1.17489273510091e-29,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713"
